Date;APF_Total_Maroc;Pandemie;sport_maroc;Nuitees_Casablanca;Capacite_Casa;Sport_Casablanca;Nuitees_Marrakech;Capacite_Marrakech;Sport_Marrakech;Nuitees_Agadir;Capacite_Agadir;Sport_Agadir;Nuitees_Tanger;Capacite_Tanger;Sport_Tanger;Nuitees_Rabat;Capacite_Rabat;Sport_Rabat;Nuitees_Fes;Capacite_Fes;Sport_Fes;Nuitees_Autres;Sport_Autres
01/01/2019;791891;0;0;146361;332638;0;525890;1011326;0;424800;816923;0;88437;196526;0;53881;117132;0;70197;219365;0;275620;0
01/02/2019;802577;0;0;151089;314768;0;583161;956001;0;430740;769178;0;83861;171144;0;56257;106145;0;79692;209715;0;299708;0
01/03/2019;911248;0;0;198680;348561;0;766483;1049976;0;494076;837416;0;113070;201910;0;76966;126173;0;110407;230014;0;410470;0
01/04/2019;1077811;0;0;221842;352130;0;893440;1076433;0;516303;875089;0;137444;211452;0;83955;121673;0;141395;239652;0;540788;0
01/05/2019;724126;0;0;139517;357735;0;539274;1100559;0;313451;824871;0;71294;216042;0;49334;123335;0;77694;209983;0;266988;0
01/06/2019;1092430;0;0;168740;337480;0;658715;1062443;0;473547;845619;0;118968;216305;0;63678;115778;0;81105;225291;0;439166;0
01/07/2019;2144524;0;0;184160;361098;0;700714;1167856;0;707459;1025302;0;154209;226777;0;62885;128336;0;69343;216696;0;626520;0
01/08/2019;1722081;0;0;169983;404721;0;892920;1206648;0;833700;1042125;0;202049;269398;0;63651;129900;0;78586;224531;0;779656;0
01/09/2019;985000;0;0;180000;360000;0;620000;1068965;0;450000;818181;0;135000;270000;0;65000;118181;0;90000;225000;0;510000;0
01/10/2019;1150000;0;0;195000;367924;0;820000;1138888;0;460000;884615;0;140000;291666;0;75000;129310;0;110000;244444;0;650000;0
01/11/2019;815345;0;0;185084;355930;0;680565;1047023;0;425123;802118;0;102556;209297;0;65770;113396;0;97818;227483;0;385355;0
01/12/2019;994224;0;0;176011;366689;0;592484;1139392;0;415349;865310;0;94218;219111;0;60406;118443;0;90048;225120;0;337903;0
01/01/2020;831485;0;0;153679;332638;0;552184;1011326;0;446040;816923;0;92858;196526;0;56575;117132;0;73706;219365;0;289401;0
01/02/2020;826654;0;0;155621;314768;0;600655;956001;0;443662;769178;0;86376;171144;0;57944;106145;0;82082;209715;0;308699;0
01/03/2020;826654;1;0;155621;314768;0;600655;956001;0;443662;769178;0;86376;171144;0;57944;106145;0;82082;209715;0;308699;0
01/04/2020;150000;1;0;40000;348561;0;150000;1049976;0;90000;837416;0;22000;201910;0;15000;126173;0;22000;230014;0;80000;0
01/05/2020;0;1;0;0;352130;0;0;1076433;0;0;875089;0;0;211452;0;0;121673;0;0;239652;0;0;0
01/06/2020;0;1;0;0;357735;0;0;1100559;0;0;824871;0;0;216042;0;0;123335;0;0;209983;0;0;0
01/07/2020;0;1;0;5000;337480;0;12000;1062443;0;8000;845619;0;3000;216305;0;2000;115778;0;2000;225291;0;8000;0
01/08/2020;120000;1;0;30000;404721;0;95000;422326;0;140000;416850;0;40000;107759;0;12000;51960;0;15000;89812;0;110000;0
